NumCom,Combinacion,TP,TN,FP,FN
592,0000101001000000,27,351,31,32
593,1000101001000000,2,326,56,57
594,0100101001000000,27,351,31,32
595,1100101001000000,2,326,56,57
596,0010101001000000,30,354,28,29
597,1010101001000000,1,325,57,58
598,0110101001000000,30,354,28,29
599,1110101001000000,1,325,57,58
600,0001101001000000,24,348,34,35
601,1001101001000000,1,325,57,58
602,0101101001000000,24,348,34,35
603,1101101001000000,1,325,57,58
604,0011101001000000,28,352,30,31
605,1011101001000000,1,325,57,58
606,0111101001000000,28,352,30,31
607,1111101001000000,1,325,57,58
608,0000011001000000,24,348,34,35
609,1000011001000000,1,325,57,58
610,0100011001000000,24,348,34,35
611,1100011001000000,1,325,57,58
612,0010011001000000,28,352,30,31
613,1010011001000000,1,325,57,58
614,0110011001000000,28,352,30,31
615,1110011001000000,1,325,57,58
616,0001011001000000,19,343,39,40
617,1001011001000000,1,325,57,58
618,0101011001000000,19,343,39,40
619,1101011001000000,1,325,57,58
620,0011011001000000,25,349,33,34
621,1011011001000000,1,325,57,58
622,0111011001000000,25,349,33,34
623,1111011001000000,1,325,57,58
624,0000111001000000,27,351,31,32
625,1000111001000000,1,325,57,58
626,0100111001000000,27,351,31,32
627,1100111001000000,1,325,57,58
628,0010111001000000,28,352,30,31
629,1010111001000000,1,325,57,58
630,0110111001000000,28,352,30,31
631,1110111001000000,1,325,57,58
632,0001111001000000,23,347,35,36
633,1001111001000000,1,325,57,58
634,0101111001000000,23,347,35,36
635,1101111001000000,1,325,57,58
636,0011111001000000,27,351,31,32
637,1011111001000000,1,325,57,58
638,0111111001000000,27,351,31,32
639,1111111001000000,1,325,57,58
640,0000000101000000,20,344,38,39
641,1000000101000000,1,325,57,58
642,0100000101000000,20,344,38,39
643,1100000101000000,1,325,57,58
644,0010000101000000,31,355,27,28
645,1010000101000000,1,325,57,58
646,0110000101000000,31,355,27,28
647,1110000101000000,1,325,57,58
648,0001000101000000,10,334,48,49
649,1001000101000000,1,325,57,58
650,0101000101000000,10,334,48,49
651,1101000101000000,1,325,57,58
652,0011000101000000,27,351,31,32
653,1011000101000000,1,325,57,58
654,0111000101000000,27,351,31,32
655,1111000101000000,1,325,57,58
656,0000100101000000,30,354,28,29
657,1000100101000000,1,325,57,58
658,0100100101000000,30,354,28,29
659,1100100101000000,1,325,57,58
660,0010100101000000,30,354,28,29
661,1010100101000000,1,325,57,58
662,0110100101000000,30,354,28,29
663,1110100101000000,1,325,57,58
664,0001100101000000,21,345,37,38
665,1001100101000000,1,325,57,58
666,0101100101000000,21,345,37,38
667,1101100101000000,1,325,57,58
668,0011100101000000,26,350,32,33
669,1011100101000000,1,325,57,58
670,0111100101000000,26,350,32,33
671,1111100101000000,1,325,57,58
672,0000010101000000,21,345,37,38
673,1000010101000000,1,325,57,58
674,0100010101000000,21,345,37,38
675,1100010101000000,1,325,57,58
676,0010010101000000,26,350,32,33
677,1010010101000000,1,325,57,58
678,0110010101000000,26,350,32,33
679,1110010101000000,1,325,57,58
680,0001010101000000,17,341,41,42
681,1001010101000000,1,325,57,58
682,0101010101000000,17,341,41,42
683,1101010101000000,1,325,57,58
684,0011010101000000,26,350,32,33
685,1011010101000000,1,325,57,58
686,0111010101000000,26,350,32,33
687,1111010101000000,1,325,57,58
688,0000110101000000,24,348,34,35
689,1000110101000000,1,325,57,58
690,0100110101000000,24,348,34,35
691,1100110101000000,1,325,57,58
692,0010110101000000,26,350,32,33
693,1010110101000000,1,325,57,58
694,0110110101000000,26,350,32,33
695,1110110101000000,1,325,57,58
696,0001110101000000,20,344,38,39
697,1001110101000000,1,325,57,58
698,0101110101000000,20,344,38,39
699,1101110101000000,1,325,57,58
700,0011110101000000,27,351,31,32
701,1011110101000000,1,325,57,58
702,0111110101000000,27,351,31,32
703,1111110101000000,1,325,57,58
704,0000001101000000,26,350,32,33
705,1000001101000000,2,326,56,57
706,0100001101000000,26,350,32,33
707,1100001101000000,2,326,56,57
